Country;Item Type;Order Date;Order ID;Order Priority Ex;Region;Sales Channel;Ship Date;Total Cost Ch (bin);Total Cost Ch;Total Profit Ch;Total Revenue Ch;Unit Cost Ch;Unit Price Ch;Units Sold
Sweden;Household;23/06/2010;688650786;High;Europe;Offline;07/08/2010;2967K;2978052,04;982115,98;3960168,02;502,54;668,27;5926
Macedonia;Office Supplies;17/06/2016;823236739;Medium;Europe;Online;01/08/2016;1484K;1522384;366125;1888509;524,96;651,21;2900
Armenia;Fruits;17/03/2015;439725911;Low;Europe;Offline;07/04/2015;0K;24386,08;8492,84;32878,92;6,92;9,33;3524
Cyprus;Snacks;01/10/2012;255047452;High;Europe;Online;30/10/2012;297K;298556,16;168948,96;467505,12;97,44;152,58;3064
Malta;Meat;26/06/2014;662623488;Critical;Europe;Offline;11/07/2014;1335K;1411350,3;221364;1632714,3;364,69;421,89;3870
San Marino;Vegetables;22/01/2016;560389268;Medium;Europe;Offline;22/02/2016;0K;44737,56;31059,96;75797,52;90,93;154,06;492
France;Office Supplies;12/07/2011;867138278;Critical;Europe;Offline;04/08/2011;2226K;2278851,36;548051,25;2826902,61;524,96;651,21;4341
Montenegro;Household;25/12/2014;525321424;High;Europe;Online;31/12/2014;1484K;1576970,52;520060,74;2097031,26;502,54;668,27;3138
Cyprus;Clothes;10/06/2014;497554337;High;Europe;Online;28/07/2014;148K;223641,6;458265,6;681907,2;35,84;109,28;6240
Vatican City;Personal Care;15/04/2016;626322257;Medium;Europe;Offline;05/05/2016;0K;86648,43;38316,74;124965,17;56,67;81,73;1529
Netherlands;Baby Food;21/01/2011;611766231;Critical;Europe;Offline;26/02/2011;593K;649955,34;390821,22;1040776,56;159,42;255,28;4077
Montenegro;Baby Food;03/03/2013;630931794;High;Europe;Offline;01/04/2013;890K;891636,06;536144,98;1427781,04;159,42;255,28;5593
San Marino;Office Supplies;04/03/2017;239386355;Low;Europe;Offline;20/04/2017;4451K;4513081,12;1085371,25;5598452,37;524,96;651,21;8597
Germany;Household;21/08/2016;874172532;Medium;Europe;Offline;02/10/2016;2967K;2981569,82;983276,09;3964845,91;502,54;668,27;5933
Iceland;Personal Care;19/09/2010;570703542;Critical;Europe;Offline;03/11/2010;148K;153859,05;68037,9;221896,95;56,67;81,73;2715
Hungary;Cosmetics;20/09/2012;132603538;Medium;Europe;Online;06/11/2012;2374K;2419476,04;1597517,56;4016993,6;263,33;437,2;9188
Czech Republic;Meat;06/08/2011;552276551;Low;Europe;Offline;24/09/2011;3412K;3559009,71;558214,8;4117224,51;364,69;421,89;9759
Macedonia;Snacks;22/03/2016;163587558;Medium;Europe;Offline;19/04/2016;742K;784197,12;443766,72;1227963,84;97,44;152,58;8048
Andorra;Baby Food;10/01/2012;415837943;Medium;Europe;Offline;23/02/2012;593K;724245,06;435491,98;1159737,04;159,42;255,28;4543
Hungary;Baby Food;17/05/2014;398645198;High;Europe;Offline;26/05/2014;1039K;1088519,76;654532,08;1743051,84;159,42;255,28;6828
Latvia;Personal Care;02/11/2013;913074433;High;Europe;Offline;17/12/2013;445K;445992,9;197222,2;643215,1;56,67;81,73;7870
Andorra;Fruits;27/05/2014;889125955;High;Europe;Offline;15/06/2014;0K;6802,36;2369,03;9171,39;6,92;9,33;983
Austria;Fruits;06/08/2011;263427960;High;Europe;Offline;20/09/2011;0K;21050,64;7331,22;28381,86;6,92;9,33;3042
Liechtenstein;Meat;12/07/2010;730490243;High;Europe;Online;14/07/2010;2522K;2607898,19;409037,2;3016935,39;364,69;421,89;7151
Poland;Cereal;01/11/2016;905036389;Low;Europe;Online;20/11/2016;1039K;1081393,74;818040,06;1899433,8;117,11;205,7;9234
Montenegro;Clothes;04/03/2012;381759297;Critical;Europe;Online;25/03/2012;297K;355317,76;728084,16;1083401,92;35,84;109,28;9914
Belarus;Cosmetics;02/09/2011;613166129;Medium;Europe;Offline;21/10/2011;2077K;2195645,54;1449728,06;3645373,6;263,33;437,2;8338
Ukraine;Office Supplies;03/05/2017;181260526;Medium;Europe;Offline;03/06/2017;4006K;4132485,12;993840;5126325,12;524,96;651,21;7872
Georgia;Snacks;01/09/2013;264959609;Critical;Europe;Online;18/10/2013;593K;612995,04;346885,74;959880,78;97,44;152,58;6291
Malta;Fruits;31/07/2010;475176560;Low;Europe;Online;04/09/2010;0K;28780,28;10023,19;38803,47;6,92;9,33;4159
Armenia;Baby Food;23/01/2012;194922626;High;Europe;Offline;07/02/2012;0K;126101,22;75825,26;201926,48;159,42;255,28;791
France;Snacks;03/07/2016;447684133;Medium;Europe;Offline;14/08/2016;742K;831942,72;470785,32;1302728,04;97,44;152,58;8538
Liechtenstein;Personal Care;04/01/2012;527259910;High;Europe;Online;11/01/2012;297K;384165,93;169881,74;554047,67;56,67;81,73;6779
Hungary;Baby Food;10/08/2014;879923617;Medium;Europe;Online;15/09/2014;1187K;1244591,94;748379,02;1992970,96;159,42;255,28;7807
Portugal;Snacks;09/03/2014;279816472;High;Europe;Offline;14/04/2014;148K;269616,48;152572,38;422188,86;97,44;152,58;2767
Cyprus;Snacks;05/11/2012;593018233;Medium;Europe;Online;11/12/2012;593K;597112,32;337897,92;935010,24;97,44;152,58;6128
Macedonia;Baby Food;16/09/2016;349060380;High;Europe;Online;28/09/2016;445K;570404,76;342987,08;913391,84;159,42;255,28;3578
Latvia;Household;18/12/2010;863890445;Critical;Europe;Offline;25/12/2010;1484K;1625716,9;536136,55;2161853,45;502,54;668,27;3235
Armenia;Personal Care;16/01/2010;667420995;Critical;Europe;Online;18/01/2010;148K;201688,53;89188,54;290877,07;56,67;81,73;3559
Montenegro;Vegetables;10/04/2011;842687690;High;Europe;Offline;26/05/2011;742K;806458,17;559899,97;1366358,14;90,93;154,06;8869
San Marino;Beverages;02/01/2012;772893178;Low;Europe;Offline;02/01/2012;148K;162828,38;80210,52;243038,9;31,79;47,45;5122
Czech Republic;Snacks;05/07/2011;789484250;Medium;Europe;Online;30/07/2011;445K;466640,16;264065,46;730705,62;97,44;152,58;4789
Vatican City;Personal Care;24/05/2012;336111962;Medium;Europe;Offline;16/06/2012;0K;105066,18;46461,24;151527,42;56,67;81,73;1854
San Marino;Household;09/12/2015;821131742;High;Europe;Offline;09/12/2015;4896K;5017861,9;1654814,05;6672675,95;502,54;668,27;9985
Liechtenstein;Household;27/04/2014;679108560;Medium;Europe;Online;11/06/2014;1039K;1090009,26;359468,37;1449477,63;502,54;668,27;2169
Lithuania;Personal Care;19/04/2011;129875409;Low;Europe;Offline;26/04/2011;0K;106256,25;46987,5;153243,75;56,67;81,73;1875
Ireland;Fruits;12/03/2015;155914723;High;Europe;Offline;29/03/2015;0K;51803,12;18041,26;69844,38;6,92;9,33;7486
Spain;Fruits;09/10/2011;753166282;High;Europe;Online;25/11/2011;0K;51865,4;18062,95;69928,35;6,92;9,33;7495
Andorra;Cereal;20/03/2015;443347108;Medium;Europe;Offline;09/04/2015;593K;599134,76;453226,44;1052361,2;117,11;205,7;5116
Iceland;Office Supplies;19/06/2013;527509677;Critical;Europe;Online;10/07/2013;297K;362747,36;87238,75;449986,11;524,96;651,21;691
Ireland;Beverages;20/09/2016;416953313;High;Europe;Offline;29/10/2016;0K;146424,74;72129,96;218554,7;31,79;47,45;4606
Bosnia and Herzegovina;Cereal;30/03/2011;639126908;Critical;Europe;Online;10/05/2011;0K;83148,1;62898,9;146047;117,11;205,7;710
Belarus;Beverages;03/06/2014;879405200;Low;Europe;Online;20/07/2014;0K;139748,84;68841,36;208590,2;31,79;47,45;4396
Slovenia;Beverages;17/03/2010;844105184;High;Europe;Offline;20/04/2010;148K;265033,23;130557,42;395590,65;31,79;47,45;8337
Netherlands;Fruits;20/09/2013;127838218;Critical;Europe;Offline;29/10/2013;0K;62446,08;21747,84;84193,92;6,92;9,33;9024
Belgium;Snacks;22/11/2010;881717050;Medium;Europe;Online;23/12/2010;742K;830578,56;470013,36;1300591,92;97,44;152,58;8524
Macedonia;Household;13/10/2015;905509746;Low;Europe;Offline;20/10/2015;4599K;4679149,94;1543112,03;6222261,97;502,54;668,27;9311
Liechtenstein;Baby Food;22/06/2012;720878922;High;Europe;Online;01/08/2012;445K;469970,16;282595,28;752565,44;159,42;255,28;2948
Italy;Personal Care;14/11/2012;306256616;Low;Europe;Offline;18/11/2012;297K;396293,31;175244,58;571537,89;56,67;81,73;6993
Spain;Cereal;04/01/2015;392252957;Medium;Europe;Offline;22/02/2015;593K;611548,42;462616,98;1074165,4;117,11;205,7;5222
Norway;Cosmetics;14/03/2014;746563756;Critical;Europe;Offline;12/04/2014;890K;964051,13;636538,07;1600589,2;263,33;437,2;3661
Bulgaria;Household;21/03/2014;129902875;Critical;Europe;Online;24/04/2014;0K;1005,08;331,46;1336,54;502,54;668,27;2
San Marino;Beverages;10/05/2014;595395314;Medium;Europe;Offline;30/05/2014;297K;303880,61;149693,94;453574,55;31,79;47,45;9559
Denmark;Fruits;04/03/2011;272425591;Low;Europe;Online;21/03/2011;0K;39035,72;13594,81;52630,53;6,92;9,33;5641
Germany;Baby Food;27/11/2013;596166074;High;Europe;Offline;13/01/2014;1187K;1218606,48;732753,84;1951360,32;159,42;255,28;7644
Netherlands;Beverages;18/10/2012;906345736;Critical;Europe;Offline;21/11/2012;148K;212961,21;104906,34;317867,55;31,79;47,45;6699
Germany;Cosmetics;26/02/2012;385340154;Medium;Europe;Offline;18/03/2012;2374K;2519804,77;1663762,03;4183566,8;263,33;437,2;9569
Sweden;Cosmetics;03/06/2012;679039466;High;Europe;Offline;05/07/2012;445K;453717,59;299578,01;753295,6;263,33;437,2;1723
San Marino;Baby Food;15/02/2011;587799727;Low;Europe;Offline;27/03/2011;148K;295883,52;177916,16;473799,68;159,42;255,28;1856
Georgia;Snacks;22/01/2017;341398274;Low;Europe;Offline;07/03/2017;593K;603251,04;341371,74;944622,78;97,44;152,58;6191
Greece;Fruits;14/06/2015;516994559;High;Europe;Offline;20/06/2015;0K;62515,28;21771,94;84287,22;6,92;9,33;9034
Slovenia;Office Supplies;09/04/2010;483981502;High;Europe;Online;04/05/2010;5044K;5111010,56;1229170;6340180,56;524,96;651,21;9736
Slovakia;Cosmetics;30/05/2015;549187934;High;Europe;Online;17/07/2015;1484K;1519150,77;1003056,03;2522206,8;263,33;437,2;5769
Macedonia;Clothes;22/04/2015;989403665;Medium;Europe;Online;25/05/2015;148K;193034,24;395547,84;588582,08;35,84;109,28;5386
Lithuania;Household;25/01/2012;516635358;High;Europe;Online;26/02/2012;1335K;1375954,52;453768,74;1829723,26;502,54;668,27;2738
Belarus;Clothes;08/06/2015;173122918;Medium;Europe;Offline;25/07/2015;297K;350264,32;717729,12;1067993,44;35,84;109,28;9773
Ireland;Beverages;14/07/2014;357482516;Critical;Europe;Online;28/07/2014;148K;186766,25;92002,5;278768,75;31,79;47,45;5875
Slovenia;Fruits;18/01/2010;756252324;Low;Europe;Online;09/02/2010;0K;5003,16;1742,43;6745,59;6,92;9,33;723
Monaco;Clothes;16/11/2016;926763570;High;Europe;Offline;25/11/2016;297K;315033,6;645537,6;960571,2;35,84;109,28;8790
Croatia;Household;28/10/2013;107651269;Medium;Europe;Online;11/11/2013;2522K;2642355,32;871408,34;3513763,66;502,54;668,27;5258
Andorra;Beverages;19/08/2010;425547969;High;Europe;Online;11/09/2010;148K;252889,45;124575,3;377464,75;31,79;47,45;7955
Estonia;Clothes;24/01/2016;264928710;Low;Europe;Offline;27/01/2016;148K;256148,48;524875,68;781024,16;35,84;109,28;7147
Andorra;Beverages;13/01/2010;861180341;Low;Europe;Offline;20/02/2010;0K;39896,45;19653,3;59549,75;31,79;47,45;1255
Ireland;Beverages;10/06/2011;580569350;Medium;Europe;Offline;03/07/2011;0K;70796,33;34874,82;105671,15;31,79;47,45;2227
Serbia;Vegetables;25/02/2013;559417665;Medium;Europe;Offline;28/02/2013;148K;270334,89;187685,49;458020,38;90,93;154,06;2973
Liechtenstein;Household;21/08/2015;184976994;Critical;Europe;Online;21/09/2015;3709K;3848451,32;1269160,34;5117611,66;502,54;668,27;7658
Cyprus;Beverages;08/12/2013;874349772;Medium;Europe;Online;04/01/2014;148K;266495,57;131277,78;397773,35;31,79;47,45;8383
Andorra;Household;15/11/2016;713009965;High;Europe;Online;16/12/2016;2077K;2185043,92;720594,04;2905637,96;502,54;668,27;4348
Andorra;Baby Food;24/10/2016;569941365;Medium;Europe;Online;26/11/2016;1039K;1143041,4;687316,2;1830357,6;159,42;255,28;7170
Malta;Household;09/09/2010;845067346;High;Europe;Online;13/09/2010;1484K;1538777,48;507465,26;2046242,74;502,54;668,27;3062
Czech Republic;Fruits;24/11/2014;774926936;Medium;Europe;Offline;27/11/2014;0K;48135,52;16763,96;64899,48;6,92;9,33;6956
Hungary;Baby Food;06/05/2011;217920958;High;Europe;Online;25/06/2011;890K;1037664,78;623952,74;1661617,52;159,42;255,28;6509
Lithuania;Clothes;06/02/2013;523836123;Critical;Europe;Online;22/03/2013;0K;129203,2;264751,2;393954,4;35,84;109,28;3605
Ukraine;Vegetables;06/11/2011;446019017;Critical;Europe;Online;25/11/2011;445K;526848,42;365775,22;892623,64;90,93;154,06;5794
Luxembourg;Clothes;14/05/2011;475992381;High;Europe;Online;26/05/2011;148K;199915,52;409648,32;609563,84;35,84;109,28;5578
Serbia;Office Supplies;01/03/2017;410514724;Critical;Europe;Offline;10/04/2017;4748K;4873728,64;1172105;6045833,64;524,96;651,21;9284
Germany;Personal Care;14/03/2010;938209950;Critical;Europe;Offline;16/03/2010;297K;341606,76;151061,68;492668,44;56,67;81,73;6028
Ukraine;Clothes;27/09/2016;747955071;High;Europe;Offline;25/10/2016;148K;192890,88;395254,08;588144,96;35,84;109,28;5382
Andorra;Clothes;14/05/2017;923160398;Low;Europe;Offline;15/06/2017;0K;90711,04;185876,64;276587,68;35,84;109,28;2531
Monaco;Office Supplies;20/10/2012;754227149;High;Europe;Online;24/11/2012;742K;750167,84;180411,25;930579,09;524,96;651,21;1429
Norway;Baby Food;24/02/2013;357943856;Low;Europe;Offline;17/03/2013;297K;381970,32;229680,56;611650,88;159,42;255,28;2396
Ireland;Cosmetics;28/01/2011;815917098;Medium;Europe;Online;13/02/2011;1780K;1805390,48;1192052,72;2997443,2;263,33;437,2;6856
Monaco;Clothes;02/01/2011;626011979;Low;Europe;Offline;11/01/2011;297K;348042,24;713175,84;1061218,08;35,84;109,28;9711
Bosnia and Herzegovina;Baby Food;01/04/2015;640295922;Medium;Europe;Online;03/04/2015;1039K;1059664,74;637181,42;1696846,16;159,42;255,28;6647
Romania;Snacks;11/01/2010;653920686;Critical;Europe;Online;18/01/2010;742K;829896,48;469627,38;1299523,86;97,44;152,58;8517
Sweden;Fruits;10/01/2017;994504153;Medium;Europe;Online;13/01/2017;0K;32759,28;11408,94;44168,22;6,92;9,33;4734
Czech Republic;Meat;09/05/2017;920011270;Medium;Europe;Offline;12/06/2017;148K;231213,46;36264,8;267478,26;364,69;421,89;634
Bosnia and Herzegovina;Vegetables;25/11/2013;523707807;Medium;Europe;Online;16/12/2013;445K;512208,69;355611,29;867819,98;90,93;154,06;5633
Belgium;Fruits;17/10/2013;791692674;Low;Europe;Online;24/11/2013;0K;57505,2;20027,1;77532,3;6,92;9,33;8310
Sweden;Vegetables;07/01/2012;715863835;Critical;Europe;Online;26/01/2012;742K;806730,96;560089,36;1366820,32;90,93;154,06;8872
Albania;Cosmetics;23/08/2010;694914710;Critical;Europe;Offline;25/09/2010;2374K;2517434,8;1662197,2;4179632;263,33;437,2;9560
Macedonia;Baby Food;21/11/2015;525472486;Medium;Europe;Online;23/11/2015;1187K;1249852,8;751542,4;2001395,2;159,42;255,28;7840
Georgia;Fruits;28/10/2012;496826493;Low;Europe;Online;11/12/2012;0K;5916,6;2060,55;7977,15;6,92;9,33;855
Liechtenstein;Cereal;01/01/2010;940682303;Low;Europe;Online;09/02/2010;890K;896125,72;677890,68;1574016,4;117,11;205,7;7652
Norway;Fruits;06/10/2014;381774747;Critical;Europe;Offline;23/10/2014;0K;31043,12;10811,26;41854,38;6,92;9,33;4486
Ireland;Vegetables;02/12/2015;934718358;High;Europe;Online;16/12/2015;148K;253603,77;176069,57;429673,34;90,93;154,06;2789
Romania;Meat;23/03/2012;741690289;Critical;Europe;Offline;10/05/2012;445K;544846,86;85456,8;630303,66;364,69;421,89;1494
Serbia;Clothes;12/01/2010;393842971;Low;Europe;Offline;31/01/2010;148K;205793,28;421692,48;627485,76;35,84;109,28;5742
Ireland;Household;21/05/2012;143414771;High;Europe;Offline;03/06/2012;4154K;4258021,42;1404230,29;5662251,71;502,54;668,27;8473
Portugal;Snacks;26/06/2010;272361218;Critical;Europe;Offline;03/07/2010;593K;642324,48;363482,88;1005807,36;97,44;152,58;6592
Lithuania;Vegetables;01/05/2017;146349751;Medium;Europe;Online;13/06/2017;593K;636419,07;441846,87;1078265,94;90,93;154,06;6999
Georgia;Meat;22/02/2017;104190576;Critical;Europe;Offline;12/03/2017;297K;423769,78;66466,4;490236,18;364,69;421,89;1162
Poland;Cereal;06/11/2013;332268464;Critical;Europe;Online;14/12/2013;445K;524301,47;396617,43;920918,9;117,11;205,7;4477
Spain;Meat;15/11/2013;459277713;Medium;Europe;Online;04/12/2013;3264K;3404745,84;534019,2;3938765,04;364,69;421,89;9336
Romania;Fruits;24/07/2010;665786778;Low;Europe;Offline;15/08/2010;0K;68909,36;23998,78;92908,14;6,92;9,33;9958
Latvia;Baby Food;01/09/2010;917485272;Low;Europe;Online;03/10/2010;445K;499941,12;300616,96;800558,08;159,42;255,28;3136
Ireland;Personal Care;28/04/2012;547225844;Low;Europe;Offline;30/05/2012;148K;291453,81;128883,58;420337,39;56,67;81,73;5143
Switzerland;Household;19/07/2015;869291770;Low;Europe;Offline;21/08/2015;742K;807581,78;266328,11;1073909,89;502,54;668,27;1607
Romania;Clothes;12/01/2017;709276759;Low;Europe;Offline;01/03/2017;297K;344422,4;705758,4;1050180,8;35,84;109,28;9610
Albania;Beverages;09/10/2012;877062451;Critical;Europe;Online;29/10/2012;0K;35731,96;17601,84;53333,8;31,79;47,45;1124
Slovenia;Baby Food;28/10/2016;111893022;Low;Europe;Online;02/12/2016;0K;77478,12;46587,96;124066,08;159,42;255,28;486
Slovakia;Beverages;29/10/2014;397874438;Medium;Europe;Online;01/12/2014;148K;277939,97;136915,38;414855,35;31,79;47,45;8743
Bulgaria;Clothes;02/03/2010;520777547;Critical;Europe;Offline;15/04/2010;297K;304783,36;624533,76;929317,12;35,84;109,28;8504
Vatican City;Household;27/06/2014;672856652;Critical;Europe;Online;03/08/2014;1039K;1050811,14;346541,43;1397352,57;502,54;668,27;2091
Kosovo;Office Supplies;15/05/2014;353383243;Low;Europe;Online;09/06/2014;1335K;1474612,64;354636,25;1829248,89;524,96;651,21;2809
Croatia;Office Supplies;21/11/2012;354667699;Low;Europe;Offline;29/12/2012;1484K;1526583,68;367135;1893718,68;524,96;651,21;2908
Switzerland;Snacks;20/03/2012;214292466;Low;Europe;Online;13/04/2012;148K;268739,52;152076,12;420815,64;97,44;152,58;2758
Portugal;Household;18/02/2015;655287110;High;Europe;Offline;22/02/2015;1335K;1443797,42;476142,29;1919939,71;502,54;668,27;2873
Liechtenstein;Baby Food;18/01/2015;295787847;High;Europe;Online;16/02/2015;1335K;1443069,84;867724,72;2310794,56;159,42;255,28;9052
Kosovo;Baby Food;10/06/2012;263852393;Low;Europe;Offline;29/06/2012;1335K;1377548,22;828326,26;2205874,48;159,42;255,28;8641
Russia;Fruits;24/03/2013;578666484;High;Europe;Offline;11/04/2013;0K;63158,84;21996,07;85154,91;6,92;9,33;9127
Denmark;Personal Care;18/06/2014;597839343;Critical;Europe;Offline;26/07/2014;148K;158789,34;70218,12;229007,46;56,67;81,73;2802
Romania;Cosmetics;12/12/2011;299335229;Medium;Europe;Offline;24/12/2011;2226K;2317567,33;1530229,87;3847797,2;263,33;437,2;8801
Vatican City;Vegetables;10/01/2016;700069701;Low;Europe;Offline;21/01/2016;445K;458014,41;317985,81;776000,22;90,93;154,06;5037
Ukraine;Household;28/07/2010;741866242;High;Europe;Online;13/09/2010;1780K;1790047,48;590330,26;2380377,74;502,54;668,27;3562
Bulgaria;Snacks;01/03/2010;211344611;Low;Europe;Offline;23/03/2010;0K;41119,68;23269,08;64388,76;97,44;152,58;422
San Marino;Personal Care;29/09/2015;625751483;High;Europe;Offline;01/10/2015;148K;148702,08;65757,44;214459,52;56,67;81,73;2624
Serbia;Fruits;26/09/2015;665817677;Critical;Europe;Online;10/10/2015;0K;62985,84;21935,82;84921,66;6,92;9,33;9102
Russia;Baby Food;20/09/2010;996754205;Low;Europe;Offline;22/09/2010;0K;91507,08;55023,64;146530,72;159,42;255,28;574
Germany;Cereal;10/11/2014;734189975;High;Europe;Online;29/11/2014;148K;232346,24;175762,56;408108,8;117,11;205,7;1984
Belarus;Beverages;03/10/2010;935789954;Low;Europe;Online;18/11/2010;297K;314657,42;155002,68;469660,1;31,79;47,45;9898
Germany;Cereal;23/01/2011;104008615;Medium;Europe;Online;22/02/2011;742K;856659,65;648035,85;1504695,5;117,11;205,7;7315
Belarus;Beverages;24/03/2017;122967326;High;Europe;Online;25/04/2017;148K;242208,01;119313,54;361521,55;31,79;47,45;7619
Montenegro;Cereal;06/06/2010;305616748;Medium;Europe;Offline;01/07/2010;890K;894954,62;677004,78;1571959,4;117,11;205,7;7642
Malta;Office Supplies;05/05/2011;243070638;Medium;Europe;Offline;22/05/2011;4599K;4650095,68;1118322,5;5768418,18;524,96;651,21;8858
Bulgaria;Clothes;04/05/2010;505867040;Low;Europe;Offline;12/06/2010;148K;220523,52;451876,32;672399,84;35,84;109,28;6153
France;Cosmetics;20/03/2014;637188422;Critical;Europe;Online;29/04/2014;1780K;1861479,77;1229087,03;3090566,8;263,33;437,2;7069
San Marino;Cereal;22/10/2016;518421494;High;Europe;Online;22/10/2016;148K;151774,56;114812,64;266587,2;117,11;205,7;1296
United Kingdom;Fruits;27/03/2013;104245078;Medium;Europe;Offline;21/04/2013;0K;50446,8;17568,9;68015,7;6,92;9,33;7290
Spain;Vegetables;16/12/2010;386319911;Critical;Europe;Online;02/01/2011;742K;863925,93;599798,13;1463724,06;90,93;154,06;9501
Cyprus;Baby Food;17/03/2016;740300261;Medium;Europe;Online;23/04/2016;0K;24391,26;14666,58;39057,84;159,42;255,28;153
Macedonia;Office Supplies;17/07/2017;747826755;Critical;Europe;Offline;22/07/2017;3858K;3889953,6;935512,5;4825466,1;524,96;651,21;7410
Romania;Personal Care;21/12/2012;215540015;Medium;Europe;Offline;24/12/2012;0K;109656,45;48491,1;158147,55;56,67;81,73;1935
Kosovo;Vegetables;23/07/2017;975080668;Critical;Europe;Offline;20/08/2017;593K;626780,49;435155,09;1061935,58;90,93;154,06;6893
Bosnia and Herzegovina;Baby Food;09/10/2012;638041150;Low;Europe;Online;28/11/2012;1484K;1500142,2;902042,6;2402184,8;159,42;255,28;9410
Greece;Cosmetics;22/05/2010;583089339;Critical;Europe;Online;26/06/2010;2077K;2092946,84;1381918,76;3474865,6;263,33;437,2;7948
Norway;Snacks;19/02/2016;118086564;Medium;Europe;Online;13/03/2016;297K;320869,92;181576,02;502445,94;97,44;152,58;3293
Malta;Baby Food;27/04/2015;296073234;Critical;Europe;Offline;04/06/2015;445K;558607,68;335893,44;894501,12;159,42;255,28;3504
Poland;Snacks;09/01/2013;968185460;Medium;Europe;Online;03/02/2013;593K;628293,12;355542,72;983835,84;97,44;152,58;6448
Kosovo;Baby Food;13/09/2012;364854514;Medium;Europe;Offline;03/10/2012;1039K;1181780,46;710610,18;1892390,64;159,42;255,28;7413
Luxembourg;Cosmetics;06/09/2013;980961358;Critical;Europe;Online;08/10/2013;1780K;1874909,6;1237954,4;3112864;263,33;437,2;7120
France;Fruits;09/04/2014;601886260;Critical;Europe;Offline;27/05/2014;0K;2588,08;901,34;3489,42;6,92;9,33;374
Poland;Household;27/04/2011;321628463;Low;Europe;Online;14/05/2011;2819K;2946894,56;971840,72;3918735,28;502,54;668,27;5864
Portugal;Meat;30/01/2014;944609057;Low;Europe;Online;16/03/2014;3412K;3525093,54;552895,2;4077988,74;364,69;421,89;9666
Malta;Cosmetics;14/12/2012;310588920;High;Europe;Offline;06/01/2013;2374K;2374709,94;1567959,66;3942669,6;263,33;437,2;9018
Armenia;Meat;02/06/2015;251208674;Medium;Europe;Offline;19/07/2015;2522K;2583463,96;405204,8;2988668,76;364,69;421,89;7084
Greece;Fruits;31/10/2015;488316380;Low;Europe;Online;18/11/2015;0K;17459,16;6080,43;23539,59;6,92;9,33;2523
Vatican City;Clothes;23/03/2012;263647687;Medium;Europe;Online;30/03/2012;148K;289013,76;592220,16;881233,92;35,84;109,28;8064
Switzerland;Personal Care;19/04/2014;653800523;High;Europe;Offline;23/04/2014;148K;167629,86;74127,48;241757,34;56,67;81,73;2958
Sweden;Cosmetics;24/08/2013;684239947;Low;Europe;Online;31/08/2013;148K;174061,13;114928,07;288989,2;263,33;437,2;661
Vatican City;Personal Care;27/01/2016;133276450;High;Europe;Online;15/03/2016;445K;471381,06;208449,08;679830,14;56,67;81,73;8318
Moldova;Personal Care;17/02/2014;838895261;Low;Europe;Offline;19/02/2014;297K;374305,35;165521,3;539826,65;56,67;81,73;6605
Denmark;Meat;26/11/2011;198537814;Critical;Europe;Online;19/12/2011;148K;221002,14;34663,2;255665,34;364,69;421,89;606
Slovenia;Meat;10/10/2015;885397469;Medium;Europe;Online;18/11/2015;2671K;2786960,98;437122,4;3224083,38;364,69;421,89;7642
Hungary;Personal Care;16/10/2014;302744853;High;Europe;Offline;02/11/2014;297K;441175,95;195092,1;636268,05;56,67;81,73;7785
Greece;Office Supplies;11/03/2014;975823962;Low;Europe;Online;08/04/2014;3561K;3595976;864812,5;4460788,5;524,96;651,21;6850
Denmark;Cosmetics;27/12/2013;860104024;Medium;Europe;Offline;30/12/2013;593K;723894,17;477968,63;1201862,8;263,33;437,2;2749
Montenegro;Cosmetics;16/11/2012;378714883;Medium;Europe;Offline;16/12/2012;2226K;2371286,65;1565699,35;3936986;263,33;437,2;9005
France;Personal Care;13/03/2017;131585586;Critical;Europe;Offline;13/04/2017;445K;450753,18;199327,24;650080,42;56,67;81,73;7954
Greece;Personal Care;11/09/2011;588528859;Low;Europe;Online;12/10/2011;297K;431995,41;191032,38;623027,79;56,67;81,73;7623
Macedonia;Meat;12/02/2017;796418511;Low;Europe;Online;23/03/2017;2374K;2476609,79;388445,2;2865054,99;364,69;421,89;6791
Kosovo;Cosmetics;03/06/2011;526018369;Medium;Europe;Online;21/06/2011;2374K;2469772,07;1630726,73;4100498,8;263,33;437,2;9379
Montenegro;Beverages;27/04/2017;122144210;Critical;Europe;Offline;24/05/2017;0K;128463,39;63282,06;191745,45;31,79;47,45;4041
Belarus;Office Supplies;06/07/2016;644592607;High;Europe;Offline;31/07/2016;4154K;4268449,76;1026538,75;5294988,51;524,96;651,21;8131
Moldova;Fruits;03/11/2014;598404109;High;Europe;Online;18/11/2014;0K;68708,68;23928,89;92637,57;6,92;9,33;9929
Czech Republic;Personal Care;22/04/2012;577530944;Critical;Europe;Online;15/05/2012;148K;175393,65;77560,7;252954,35;56,67;81,73;3095
Finland;Fruits;12/01/2016;182078921;High;Europe;Offline;14/02/2016;0K;373,68;130,14;503,82;6,92;9,33;54
Serbia;Baby Food;22/03/2014;302015721;High;Europe;Online;17/04/2014;297K;321709,56;193445,48;515155,04;159,42;255,28;2018
Latvia;Clothes;28/09/2014;233709084;Medium;Europe;Offline;16/10/2014;297K;307005,44;629087,04;936092,48;35,84;109,28;8566
Estonia;Meat;25/08/2010;966800153;Medium;Europe;Offline;10/09/2010;2226K;2372308,45;372086;2744394,45;364,69;421,89;6505
